ladcode23,Borough,Year,Population
E09000002,Barking and Dagenham,2011,187029
E09000003,Barnet,2011,357538
E09000004,Bexley,2011,232774
E09000005,Brent,2011,312245
E09000006,Bromley,2011,310554
E09000007,Camden,2011,220087
E09000008,Croydon,2011,364815
E09000009,Ealing,2011,339314
E09000010,Enfield,2011,313935
E09000011,Greenwich,2011,255483
E09000012,Hackney,2011,247182
E09000013,Hammersmith and Fulham,2011,182445
E09000014,Haringey,2011,255540
E09000015,Harrow,2011,240499
E09000016,Havering,2011,237927
E09000017,Hillingdon,2011,275499
E09000018,Hounslow,2011,254927
E09000019,Islington,2011,206285
E09000020,Kensington and Chelsea,2011,158251
E09000021,Kingston upon Thames,2011,160436
E09000022,Lambeth,2011,304481
E09000023,Lewisham,2011,276938
E09000024,Merton,2011,200543
E09000025,Newham,2011,310460
E09000026,Redbridge,2011,281395
E09000027,Richmond upon Thames,2011,187527
E09000028,Southwark,2011,288717
E09000029,Sutton,2011,191123
E09000030,Tower Hamlets,2011,256012
E09000031,Waltham Forest,2011,259742
E09000032,Wandsworth,2011,307710
E09000033,Westminster,2011,219582
E09000002,Barking and Dagenham,2012,191453
E09000003,Barnet,2012,363260
E09000004,Bexley,2012,234435
E09000005,Brent,2012,317984
E09000006,Bromley,2012,314663
E09000007,Camden,2012,219647
E09000008,Croydon,2012,369617
E09000009,Ealing,2012,344834
E09000010,Enfield,2012,317780
E09000011,Greenwich,2012,260360
E09000012,Hackney,2012,251193
E09000013,Hammersmith and Fulham,2012,184439
E09000014,Haringey,2012,259312
E09000015,Harrow,2012,243800
E09000016,Havering,2012,239946
E09000017,Hillingdon,2012,281263
E09000018,Hounslow,2012,260584
E09000019,Islington,2012,208762
E09000020,Kensington and Chelsea,2012,157240
E09000021,Kingston upon Thames,2012,162562
E09000022,Lambeth,2012,310449
E09000023,Lewisham,2012,281011
E09000024,Merton,2012,205166
E09000025,Newham,2012,313750
E09000026,Redbridge,2012,285437
E09000027,Richmond upon Thames,2012,189934
E09000028,Southwark,2012,293078
E09000029,Sutton,2012,193982
E09000030,Tower Hamlets,2012,261936
E09000031,Waltham Forest,2012,263575
E09000032,Wandsworth,2012,312262
E09000033,Westminster,2012,219539
E09000002,Barking and Dagenham,2013,196204
E09000003,Barnet,2013,368611
E09000004,Bexley,2013,236169
E09000005,Brent,2013,324345
E09000006,Bromley,2013,318582
E09000007,Camden,2013,221348
E09000008,Croydon,2013,374270
E09000009,Ealing,2013,350650
E09000010,Enfield,2013,321754
E09000011,Greenwich,2013,264036
E09000012,Hackney,2013,255646
E09000013,Hammersmith and Fulham,2013,186056
E09000014,Haringey,2013,265054
E09000015,Harrow,2013,247018
E09000016,Havering,2013,242550
E09000017,Hillingdon,2013,285982
E09000018,Hounslow,2013,265547
E09000019,Islington,2013,212604
E09000020,Kensington and Chelsea,2013,156823
E09000021,Kingston upon Thames,2013,164418
E09000022,Lambeth,2013,314375
E09000023,Lewisham,2013,286056
E09000024,Merton,2013,208529
E09000025,Newham,2013,316952
E09000026,Redbridge,2013,289976
E09000027,Richmond upon Thames,2013,192375
E09000028,Southwark,2013,297868
E09000029,Sutton,2013,196678
E09000030,Tower Hamlets,2013,270294
E09000031,Waltham Forest,2013,267963
E09000032,Wandsworth,2013,316810
E09000033,Westminster,2013,215907
E09000002,Barking and Dagenham,2014,201244
E09000003,Barnet,2014,373853
E09000004,Bexley,2014,239112
E09000005,Brent,2014,329981
E09000006,Bromley,2014,321800
E09000007,Camden,2014,221095
E09000008,Croydon,2014,378244
E09000009,Ealing,2014,354660
E09000010,Enfield,2014,326340
E09000011,Greenwich,2014,268305
E09000012,Hackney,2014,258735
E09000013,Hammersmith and Fulham,2014,186659
E09000014,Haringey,2014,268901
E09000015,Harrow,2014,251618
E09000016,Havering,2014,246771
E09000017,Hillingdon,2014,290225
E09000018,Hounslow,2014,270773
E09000019,Islington,2014,214986
E09000020,Kensington and Chelsea,2014,156178
E09000021,Kingston upon Thames,2014,165791
E09000022,Lambeth,2014,318196
E09000023,Lewisham,2014,291086
E09000024,Merton,2014,211025
E09000025,Newham,2014,322984
E09000026,Redbridge,2014,295837
E09000027,Richmond upon Thames,2014,194492
E09000028,Southwark,2014,299685
E09000029,Sutton,2014,199144
E09000030,Tower Hamlets,2014,277060
E09000031,Waltham Forest,2014,270606
E09000032,Wandsworth,2014,319898
E09000033,Westminster,2014,214341
E09000002,Barking and Dagenham,2015,206450
E09000003,Barnet,2015,377826
E09000004,Bexley,2015,241427
E09000005,Brent,2015,335605
E09000006,Bromley,2015,325653
E09000007,Camden,2015,221032
E09000008,Croydon,2015,381277
E09000009,Ealing,2015,359144
E09000010,Enfield,2015,330868
E09000011,Greenwich,2015,274230
E09000012,Hackney,2015,261929
E09000013,Hammersmith and Fulham,2015,187246
E09000014,Haringey,2015,272938
E09000015,Harrow,2015,255308
E09000016,Havering,2015,250449
E09000017,Hillingdon,2015,294011
E09000018,Hounslow,2015,275097
E09000019,Islington,2015,218255
E09000020,Kensington and Chelsea,2015,156149
E09000021,Kingston upon Thames,2015,167594
E09000022,Lambeth,2015,322881
E09000023,Lewisham,2015,295364
E09000024,Merton,2015,213791
E09000025,Newham,2015,330322
E09000026,Redbridge,2015,301022
E09000027,Richmond upon Thames,2015,194966
E09000028,Southwark,2015,304048
E09000029,Sutton,2015,201208
E09000030,Tower Hamlets,2015,282674
E09000031,Waltham Forest,2015,274579
E09000032,Wandsworth,2015,322658
E09000033,Westminster,2015,215876
E09000002,Barking and Dagenham,2016,211047
E09000003,Barnet,2016,382925
E09000004,Bexley,2016,244006
E09000005,Brent,2016,339524
E09000006,Bromley,2016,327701
E09000007,Camden,2016,221024
E09000008,Croydon,2016,384382
E09000009,Ealing,2016,362163
E09000010,Enfield,2016,333295
E09000011,Greenwich,2016,278768
E09000012,Hackney,2016,264892
E09000013,Hammersmith and Fulham,2016,187472
E09000014,Haringey,2016,276262
E09000015,Harrow,2016,257317
E09000016,Havering,2016,254487
E09000017,Hillingdon,2016,297451
E09000018,Hounslow,2016,278601
E09000019,Islington,2016,220620
E09000020,Kensington and Chelsea,2016,152708
E09000021,Kingston upon Thames,2016,168617
E09000022,Lambeth,2016,326613
E09000023,Lewisham,2016,298809
E09000024,Merton,2016,215514
E09000025,Newham,2016,335337
E09000026,Redbridge,2016,304369
E09000027,Richmond upon Thames,2016,196293
E09000028,Southwark,2016,306720
E09000029,Sutton,2016,203299
E09000030,Tower Hamlets,2016,289011
E09000031,Waltham Forest,2016,277081
E09000032,Wandsworth,2016,326413
E09000033,Westminster,2016,213193
E09000002,Barking and Dagenham,2017,214017
E09000003,Barnet,2017,384117
E09000004,Bexley,2017,244494
E09000005,Brent,2017,342439
E09000006,Bromley,2017,329134
E09000007,Camden,2017,218833
E09000008,Croydon,2017,385567
E09000009,Ealing,2017,362670
E09000010,Enfield,2017,333077
E09000011,Greenwich,2017,282376
E09000012,Hackney,2017,264834
E09000013,Hammersmith and Fulham,2017,187720
